ID,型号,价格,能源类型,车辆级别,驱动方式,马力(Ps),电池容量(kWh),百公里能耗,续航里程
31,MG5 2025款 180DVVT 全球抢先版,8.19万,汽油,紧凑型车,前驱,N/A,N/A,N/A,N/A
31,MG5 2025款 180DVVT 全球豪华版,8.59万,汽油,紧凑型车,前驱,N/A,N/A,N/A,N/A
31,MG5 2025款 300TGI 全球旗舰版,9.59万,汽油,紧凑型车,前驱,N/A,N/A,N/A,N/A
31,MG5 2023款 180DVVT 手动青春风尚版,6.79万,汽油,紧凑型车,前驱,N/A,N/A,N/A,N/A
32,MG6 2023款 1.5T 经典版,10.98万,汽油,紧凑型车,前驱,N/A,N/A,N/A,N/A
32,MG6 2023款 1.5T XLINE猎鲨版,12.38万,汽油,紧凑型车,前驱,N/A,N/A,N/A,N/A
32,MG6 2021款 Pro 1.5T 自动领潮豪华版,11.58万,汽油,紧凑型车,前驱,N/A,N/A,N/A,N/A
32,MG6 2021款 Pro 1.5T 自动Trophy豪华版,12.38万,汽油,紧凑型车,前驱,N/A,N/A,N/A,N/A
32,MG6 2021款 Pro 1.5T 自动Trophy旗舰版,13.38万,汽油,紧凑型车,前驱,N/A,N/A,N/A,N/A
32,MG6 2021款 Pro 1.5T 自动Trophy智驾旗舰版,13.98万,汽油,紧凑型车,前驱,N/A,N/A,N/A,N/A
37,MG7 2025款 1.5T DCT豪华版,12.59万,汽油,中型车,前驱,N/A,N/A,N/A,N/A
37,MG7 2025款 1.5T DCT优雅版,13.79万,汽油,中型车,前驱,N/A,N/A,N/A,N/A
37,MG7 2025款 2.0T 自动尊享版,14.59万,汽油,中型车,前驱,N/A,N/A,N/A,N/A
37,MG7 2025款 2.0T 自动奢享版,15.59万,汽油,中型车,前驱,N/A,N/A,N/A,N/A
37,MG7 2025款 2.0T 自动Trophy+ 超级运动版,16.99万,汽油,中型车,前驱,N/A,N/A,N/A,N/A
37,MG7 2025款 2.0T 自动Trophy+ 超级智驾版,17.89万,汽油,中型车,前驱,N/A,N/A,N/A,N/A
37,MG7 2023款 1.5T DCT至美舒享版,11.98万,汽油,中型车,前驱,N/A,N/A,N/A,N/A
37,MG7 2023款 1.5T DCT至美豪华版,12.58万,汽油,中型车,前驱,N/A,N/A,N/A,N/A
37,MG7 2023款 1.5T DCT至美优雅版,13.78万,汽油,中型车,前驱,N/A,N/A,N/A,N/A
37,MG7 2023款 2.0T 自动猎美尊享版,14.58万,汽油,中型车,前驱,N/A,N/A,N/A,N/A
37,MG7 2023款 2.0T 自动猎美奢享版,15.58万,汽油,中型车,前驱,N/A,N/A,N/A,N/A
37,MG7 2023款 2.0T 自动Trophy+ 激擎耀世版,16.98万,汽油,中型车,前驱,N/A,N/A,N/A,N/A
53,斯威X7 2021款 1.5T 自动智云版 7座,10.59万,汽油,中型SUV,前驱,N/A,N/A,N/A,N/A
53,斯威X7 2021款 改款 1.5T 自动精英版 5座,8.49万,汽油,中型SUV,前驱,N/A,N/A,N/A,N/A
53,斯威X7 2021款 改款 1.5T 自动精英版 6座,8.49万,汽油,中型SUV,前驱,N/A,N/A,N/A,N/A
53,斯威X7 2021款 改款 1.5T 自动精英版 7座,8.49万,汽油,中型SUV,前驱,N/A,N/A,N/A,N/A
53,斯威X7 2021款 改款 1.5T 自动智云版 7座,10.59万,汽油,中型SUV,前驱,N/A,N/A,N/A,N/A
54,斯威X3 2022款 1.5L 手动舒适型 7座,5.88万,汽油,紧凑型SUV,前驱,N/A,N/A,N/A,N/A
95,奥迪A3 2025款 Sportback 35 TFSI 飞驰悦享型,16.59万,汽油,紧凑型车,前驱,N/A,N/A,N/A,N/A
95,奥迪A3 2025款 Sportback 35 TFSI 飞驰尊享型,18.99万,汽油,紧凑型车,前驱,N/A,N/A,N/A,N/A
95,奥迪A3 2025款 Sportback 35 TFSI 飞驰尊享型+豪华臻选包,20.59万,汽油,紧凑型车,前驱,N/A,N/A,N/A,N/A
95,奥迪A3 2025款 A3L Limousine 35 TFSI 飞驰悦享型,16.99万,汽油,紧凑型车,前驱,N/A,N/A,N/A,N/A
95,奥迪A3 2025款 A3L Limousine 35 TFSI 飞驰尊享型,19.39万,汽油,紧凑型车,前驱,N/A,N/A,N/A,N/A
95,奥迪A3 2025款 A3L Limousine 35 TFSI 飞驰尊享型+豪华臻选包,20.99万,汽油,紧凑型车,前驱,N/A,N/A,N/A,N/A
95,奥迪A3 2024款 Sportback 35 TFSI 进取致雅型,20.31万,汽油,紧凑型车,前驱,N/A,N/A,N/A,N/A
95,奥迪A3 2024款 Sportback 35 TFSI 进取运动型,20.31万,汽油,紧凑型车,前驱,N/A,N/A,N/A,N/A
95,奥迪A3 2024款 Sportback 35 TFSI 时尚致雅型,22.42万,汽油,紧凑型车,前驱,N/A,N/A,N/A,N/A
95,奥迪A3 2024款 Sportback 35 TFSI 时尚运动型,22.42万,汽油,紧凑型车,前驱,N/A,N/A,N/A,N/A
95,奥迪A3 2024款 Sportback 35 TFSI 豪华致雅型,24.48万,汽油,紧凑型车,前驱,N/A,N/A,N/A,N/A
95,奥迪A3 2024款 Sportback 35 TFSI 豪华运动型,24.48万,汽油,紧凑型车,前驱,N/A,N/A,N/A,N/A
95,奥迪A3 2024款 Sportback 35 TFSI RS套件燃速型,23.47万,汽油,紧凑型车,前驱,N/A,N/A,N/A,N/A
95,奥迪A3 2024款 A3L Limousine 35 TFSI 进取致雅型,20.96万,汽油,紧凑型车,前驱,N/A,N/A,N/A,N/A
95,奥迪A3 2024款 A3L Limousine 35 TFSI 进取运动型,20.96万,汽油,紧凑型车,前驱,N/A,N/A,N/A,N/A
95,奥迪A3 2024款 A3L Limousine 35 TFSI 时尚致雅型,23.07万,汽油,紧凑型车,前驱,N/A,N/A,N/A,N/A
95,奥迪A3 2024款 A3L Limousine 35 TFSI 时尚运动型,23.07万,汽油,紧凑型车,前驱,N/A,N/A,N/A,N/A
95,奥迪A3 2024款 A3L Limousine 35 TFSI 豪华致雅型,25.13万,汽油,紧凑型车,前驱,N/A,N/A,N/A,N/A
95,奥迪A3 2024款 A3L Limousine 35 TFSI 豪华运动型,25.13万,汽油,紧凑型车,前驱,N/A,N/A,N/A,N/A
95,奥迪A3 2024款 A3L Limousine 35 TFSI RS套件燃速型,24.12万,汽油,紧凑型车,前驱,N/A,N/A,N/A,N/A
96,奥迪A4L 2025款 200万辆悦享版 40 TFSI 时尚动感型,28.98万,汽油,中型车,前驱,N/A,N/A,N/A,N/A
